,0
0,Samuel L. Jackson
1,Robert De Niro
2,Morgan Freeman
3,Bruce Willis
4,Matt Damon
5,Steve Buscemi
6,Nicolas Cage
7,Brad Pitt
8,Alec Baldwin
9,Owen Wilson
10,Johnny Depp
11,Bill Murray
12,Ben Kingsley
13,Jim Broadbent
14,Will Ferrell
15,Anthony Hopkins
16,Ben Stiller
17,Robin Williams
18,Liam Neeson
19,Denzel Washington
20,Mark Wahlberg
21,George Clooney
22,Willem Dafoe
23,Christopher Plummer
24,Christopher Walken
25,Stanley Tucci
26,Tom Cruise
27,Woody Harrelson
28,Tom Hanks
29,John C. Reilly
30,Paul Giamatti
31,John Goodman
32,Richard Jenkins
33,Harrison Ford
34,Pierce Brosnan
35,Antonio Banderas
36,Brian Cox
37,Michael Caine
38,Laurence Fishburne
39,Philip Seymour Hoffman
40,Robert Downey Jr.
41,Sylvester Stallone
42,Ewan McGregor
43,Matthew McConaughey
44,Arnold Schwarzenegger
45,Eddie Murphy
46,Keith David
47,John Travolta
48,Robert Duvall
49,Ben Affleck
50,Tom Wilkinson
51,Ed Harris
52,Donald Sutherland
53,Adam Sandler
54,Gary Oldman
55,John Hurt
56,Brendan Gleeson
57,Justin Long
58,Gerard Butler
59,John Leguizamo
60,Danny Glover
61,Christian Bale
62,Keanu Reeves
63,Forest Whitaker
64,John Cusack
65,John Turturro
66,Mark Ruffalo
67,Sean Connery
68,William H. Macy
69,Dustin Hoffman
70,Steve Zahn
71,Kevin Costner
72,Luke Wilson
73,Jim Carrey
74,James Franco
75,Jack Black
76,Bill Nighy
77,Jason Statham
78,Ralph Fiennes
79,Jude Law
80,Paul Rudd
81,Hugh Jackman
82,Jamie Foxx
83,Dennis Quaid
84,Luis Guzmán
85,John Malkovich
86,Gene Hackman
87,Elias Koteas
88,Russell Crowe
89,Seth Rogen
90,J.K. Simmons
91,Danny DeVito
92,Will Smith
93,Jason Bateman
94,Bill Hader
95,Jeff Bridges
96,Bruce Greenwood
97,Val Kilmer
98,Kevin Bacon
99,Tommy Lee Jones
100,Al Pacino
101,Dan Aykroyd
