,0
0,Samuel L. Jackson
1,Robert De Niro
2,Morgan Freeman
3,Bruce Willis
4,Matt Damon
5,Steve Buscemi
6,Nicolas Cage
7,Brad Pitt
8,Alec Baldwin
9,Owen Wilson
10,Johnny Depp
11,Susan Sarandon
12,Bill Murray
13,Ben Kingsley
14,Jim Broadbent
15,Will Ferrell
16,Julia Roberts
17,Anthony Hopkins
18,Ben Stiller
19,Robin Williams
20,Liam Neeson
21,Denzel Washington
22,Mark Wahlberg
23,George Clooney
24,Willem Dafoe
25,Christopher Plummer
26,Christopher Walken
27,Stanley Tucci
28,Tom Cruise
29,Woody Harrelson
30,Tom Hanks
31,John C. Reilly
32,Paul Giamatti
33,John Goodman
34,Richard Jenkins
35,Cameron Diaz
36,Harrison Ford
37,Nicole Kidman
38,Julianne Moore
39,Pierce Brosnan
40,Antonio Banderas
41,Meryl Streep
42,Brian Cox
43,Michael Caine
44,Laurence Fishburne
45,Philip Seymour Hoffman
46,Robert Downey Jr.
47,Catherine Keener
48,Sylvester Stallone
49,Ewan McGregor
50,Matthew McConaughey
51,Arnold Schwarzenegger
52,Scarlett Johansson
53,Eddie Murphy
54,Keith David
55,John Travolta
56,Sigourney Weaver
57,Robert Duvall
58,Ben Affleck
59,Tom Wilkinson
60,Sandra Bullock
61,Ed Harris
62,Donald Sutherland
63,Adam Sandler
64,Drew Barrymore
65,Gary Oldman
66,John Hurt
67,Brendan Gleeson
68,Justin Long
69,Gerard Butler
70,John Leguizamo
71,Danny Glover
72,Christian Bale
73,Keanu Reeves
74,Forest Whitaker
75,John Cusack
76,John Turturro
77,Mark Ruffalo
78,Charlize Theron
79,Sean Connery
80,William H. Macy
81,Dustin Hoffman
82,Judi Dench
83,Steve Zahn
84,Kevin Costner
85,Luke Wilson
86,Jim Carrey
87,James Franco
88,Jack Black
89,Bill Nighy
90,Jason Statham
91,Angelina Jolie
92,Ralph Fiennes
93,Cate Blanchett
94,Jude Law
95,Paul Rudd
96,Hugh Jackman
97,Jamie Foxx
98,Dennis Quaid
99,Luis Guzmán
100,John Malkovich
