,Name,Count,isDead,age
0,Susan Sarandon,33,False,74
1,Julia Roberts,32,False,53
2,Cameron Diaz,30,False,48
3,Nicole Kidman,29,False,53
4,Julianne Moore,29,False,60
5,Meryl Streep,29,False,71
6,Catherine Keener,28,False,61
7,Scarlett Johansson,28,False,36
8,Sigourney Weaver,28,False,71
9,Sandra Bullock,27,False,56
10,Drew Barrymore,27,False,45
11,Charlize Theron,26,False,45
12,Judi Dench,25,False,86
13,Angelina Jolie,25,False,45
14,Cate Blanchett,25,False,51
15,Amy Adams,24,False,46
16,Anne Hathaway,24,False,38
17,Kate Winslet,24,False,45
18,Kirsten Dunst,24,False,38
19,Patricia Clarkson,23,False,61
20,Kristen Wiig,23,False,47
21,Queen Latifah,23,False,50
22,Jennifer Lopez,22,False,51
23,Rosario Dawson,22,False,41
24,Helena Bonham Carter,22,False,54
25,Naomi Watts,22,False,52
26,Joan Cusack,22,False,58
27,Amanda Peet,21,False,48
28,Helen Mirren,21,False,75
29,Gwyneth Paltrow,21,False,48
30,Judy Greer,21,False,45
31,Marisa Tomei,21,False,56
32,Natalie Portman,21,False,39
33,Allison Janney,21,False,61
34,Rose Byrne,21,False,41
35,Jennifer Aniston,21,False,51
36,Maria Bello,20,False,53
37,Zooey Deschanel,20,False,40
38,Whoopi Goldberg,20,False,65
39,Zoe Saldana,20,False,42
40,Reese Witherspoon,20,False,44
41,Elizabeth Banks,20,False,46
42,Laura Linney,20,False,56
43,Winona Ryder,20,False,49
44,Maggie Gyllenhaal,20,False,43
45,Salma Hayek,20,False,54
46,Anna Faris,20,False,44
47,Carla Gugino,20,False,49
48,Jessica Alba,19,False,39
49,Jane Lynch,19,False,60
50,Famke Janssen,19,False,56
51,Eva Mendes,19,False,46
52,Halle Berry,19,False,54
53,Emma Thompson,19,False,61
54,Diane Keaton,19,False,74
55,Kate Bosworth,19,False,37
56,Milla Jovovich,19,False,45
57,Catherine Zeta-Jones,19,False,51
58,Viola Davis,19,False,55
59,Leslie Mann,19,False,48
60,Christina Ricci,18,False,40
61,Rachel McAdams,18,False,42
