,focus_actor,release_date,title,popularity,revenue,vote_average,vote_count,genre_name,age_at_release
0,Samuel L. Jackson,1988-02-12,School Daze,3.159574,0.0,6.2,26.0,Comedy,40.0
1,Samuel L. Jackson,1989-09-15,Sea of Love,11.47316,110879513.0,6.7,141.0,Drama,41.0
2,Samuel L. Jackson,1990-08-03,Mo' Better Blues,3.079862,16153593.0,6.3,47.0,Drama,42.0
3,Samuel L. Jackson,1991-08-18,Johnny Suede,1.354816,0.0,4.7,13.0,Comedy,43.0
4,Samuel L. Jackson,1992-06-04,Patriot Games,19.637704,178051587.0,6.3,433.0,Drama,44.0
5,Samuel L. Jackson,1993-02-04,National Lampoon's Loaded Weapon 1,12.963328,0.0,5.7,157.0,Comedy,45.0
6,Samuel L. Jackson,1993-05-26,Menace II Society,3.4188709999999998,27900000.0,7.2,173.0,Drama,45.0
7,Samuel L. Jackson,1993-06-11,Jurassic Park,40.413191,920100000.0,7.6,4856.0,Adventure,45.0
8,Samuel L. Jackson,1993-09-09,True Romance,35.268557,12281551.0,7.5,749.0,Action,45.0
9,Samuel L. Jackson,1994-10-08,Pulp Fiction,121.463076,213928762.0,8.3,8428.0,Thriller,46.0
10,Samuel L. Jackson,1995-04-21,Kiss of Death,6.908939999999999,0.0,5.7,81.0,Action,47.0
11,Samuel L. Jackson,1995-05-19,Die Hard: With a Vengeance,51.88107700000001,366101666.0,6.9,2066.0,Action,47.0
12,Samuel L. Jackson,1996-07-24,A Time to Kill,25.219804999999997,152266007.0,7.0,509.0,Crime,48.0
13,Samuel L. Jackson,1996-10-11,The Long Kiss Goodnight,15.858629,89456761.0,6.5,314.0,Crime,48.0
14,Samuel L. Jackson,1996-10-11,Trees Lounge,3.443916,0.0,6.7,51.0,Comedy,48.0
15,Samuel L. Jackson,1997-09-07,Eve's Bayou,1.126941,0.0,6.1,27.0,Drama,49.0
16,Samuel L. Jackson,1997-12-24,Jackie Brown,40.631671000000004,39673162.0,7.3,1514.0,Comedy,49.0
17,Samuel L. Jackson,1998-02-13,Sphere,18.659879999999998,13100000.0,5.8,476.0,Science Fiction,50.0
18,Samuel L. Jackson,1998-07-29,The Negotiator,28.725621000000004,44547681.0,6.8,582.0,Action,50.0
19,Samuel L. Jackson,1999-07-28,Deep Blue Sea,22.991269,73648228.0,5.6,604.0,Action,51.0
20,Samuel L. Jackson,2000-06-15,Shaft,19.643365,107196498.0,5.5,308.0,Action,52.0
21,Samuel L. Jackson,2000-11-13,Unbreakable,42.006908,248118121.0,6.9,1946.0,Science Fiction,52.0
22,Samuel L. Jackson,2001-01-19,The Caveman's Valentine,4.722403,0.0,6.0,27.0,Drama,53.0
23,Samuel L. Jackson,2001-12-07,The 51st State,9.670031,14.0,5.9,173.0,Thriller,53.0
24,Samuel L. Jackson,2002-04-07,Changing Lanes,17.270539000000007,94935764.0,5.9,299.0,Action,54.0
25,Samuel L. Jackson,2002-05-15,Star Wars: Episode II - Attack of the Clones,43.987061,649398328.0,6.4,3992.0,Adventure,54.0
26,Samuel L. Jackson,2002-08-09,xXx,46.217769,277448382.0,5.8,1424.0,Action,54.0
27,Samuel L. Jackson,2003-04-18,Basic,19.226763000000002,42792561.0,6.2,286.0,Action,55.0
28,Samuel L. Jackson,2003-08-08,S.W.A.T.,34.052253,116643346.0,5.8,770.0,Action,55.0
29,Samuel L. Jackson,2004-04-16,Kill Bill: Vol. 2,50.622607,152159461.0,7.6,3948.0,Action,56.0
30,Samuel L. Jackson,2004-11-05,The Incredibles,77.817571,631442092.0,7.4,5152.0,Action,56.0
31,Samuel L. Jackson,2005-01-14,Coach Carter,23.234651,76669806.0,7.3,496.0,Drama,57.0
32,Samuel L. Jackson,2005-04-27,xXx: State of the Union,36.689223,71073932.0,4.7,549.0,Action,57.0
33,Samuel L. Jackson,2005-05-17,Star Wars: Episode III - Revenge of the Sith,44.108427,850000000.0,7.1,4116.0,Science Fiction,57.0
34,Samuel L. Jackson,2005-08-05,My Date with Drew,1.9298830000000002,0.0,6.3,16.0,Documentary,57.0
35,Samuel L. Jackson,2005-09-08,The Man,6.925644999999999,12382362.0,5.4,133.0,Action,57.0
36,Samuel L. Jackson,2006-08-06,Snakes on a Plane,19.642328,62022014.0,5.1,497.0,Action,58.0
37,Samuel L. Jackson,2006-12-01,Farce of the Penguins,1.9632189999999998,0.0,3.2,13.0,Comedy,58.0
38,Samuel L. Jackson,2006-12-08,Black Snake Moan,11.429607,10903846.0,6.6,243.0,Drama,58.0
39,Samuel L. Jackson,2007-06-14,Resurrecting the Champ,4.898437,0.0,5.9,60.0,Drama,59.0
40,Samuel L. Jackson,2007-07-12,1408,35.169779,94679598.0,6.5,1343.0,Horror,59.0
41,Samuel L. Jackson,2008-02-10,Jumper,21.218000000000004,222231186.0,5.9,1799.0,Adventure,60.0
42,Samuel L. Jackson,2008-09-19,Lakeview Terrace,20.495749,27640028.0,5.9,292.0,Drama,60.0
43,Samuel L. Jackson,2008-11-07,Soul Men,5.483671,0.0,6.3,47.0,Comedy,60.0
44,Samuel L. Jackson,2008-12-25,The Spirit,14.84856,39031337.0,4.7,320.0,Action,60.0
45,Samuel L. Jackson,2009-10-15,Astro Boy,24.857079000000002,44091067.0,6.1,409.0,Animation,61.0
46,Samuel L. Jackson,2009-11-07,Mother and Child,5.517597,0.0,6.7,46.0,Drama,61.0
47,Samuel L. Jackson,2010-04-28,Iron Man 2,77.30019399999998,623933331.0,6.6,6849.0,Adventure,62.0
48,Samuel L. Jackson,2010-08-06,The Other Guys,24.399642,170432927.0,6.1,1383.0,Action,62.0
49,Samuel L. Jackson,2011-07-22,Captain America: The First Avenger,74.50624599999998,370569774.0,6.6,7047.0,Action,63.0
50,Samuel L. Jackson,2012-06-05,Zambezia,14.182301,0.0,5.3,68.0,Comedy,64.0
51,Samuel L. Jackson,2012-12-25,Django Unchained,82.121691,425368238.0,7.8,10099.0,Drama,64.0
52,Samuel L. Jackson,2013-07-11,Turbo,44.765377,282570682.0,6.1,1074.0,Animation,65.0
53,Samuel L. Jackson,2014-01-30,RoboCop,66.757869,242688965.0,5.7,2342.0,Action,66.0
54,Samuel L. Jackson,2014-03-20,Captain America: The Winter Soldier,72.22526500000002,714766572.0,7.6,5764.0,Action,66.0
55,Samuel L. Jackson,2015-04-22,Avengers: Age of Ultron,134.27922900000002,1405403694.0,7.3,6767.0,Action,67.0
56,Samuel L. Jackson,2015-12-25,The Hateful Eight,68.717016,155760117.0,7.6,4274.0,Crime,67.0
57,Samuel L. Jackson,2016-06-29,The Legend of Tarzan,42.741719,356743061.0,5.5,2430.0,Action,68.0
0,Robert De Niro,1973-10-02,Mean Streets,17.002095999999998,3000000.0,7.2,345.0,Drama,30.0
1,Robert De Niro,1974-12-20,The Godfather: Part II,105.79293600000001,47542841.0,8.3,3338.0,Drama,31.0
2,Robert De Niro,1976-02-07,Taxi Driver,58.845025,28262574.0,8.0,2535.0,Crime,33.0
3,Robert De Niro,1977-06-21,"New York, New York",3.876242,0.0,6.1,67.0,Drama,34.0
4,Robert De Niro,1978-12-08,The Deer Hunter,19.786392000000006,50000000.0,7.8,921.0,Drama,35.0
5,Robert De Niro,1980-11-14,Raging Bull,35.524457,23000000.0,7.7,938.0,Drama,37.0
6,Robert De Niro,1984-02-16,Once Upon a Time in America,49.336397,0.0,8.2,1069.0,Drama,41.0
7,Robert De Niro,1985-02-20,Brazil,41.089863,0.0,7.5,861.0,Comedy,42.0
8,Robert De Niro,1987-06-02,The Untouchables,38.272889,76270454.0,7.6,1384.0,Crime,44.0
9,Robert De Niro,1988-07-20,Midnight Run,12.821328999999999,38413606.0,7.2,238.0,Adventure,45.0
10,Robert De Niro,1989-12-15,We're No Angels,9.927017999999999,0.0,5.6,105.0,Comedy,46.0
11,Robert De Niro,1990-09-12,GoodFellas,63.65424399999999,46836394.0,8.2,3128.0,Drama,47.0
12,Robert De Niro,1991-11-15,Cape Fear,27.714043,182300000.0,7.0,675.0,Crime,48.0
13,Robert De Niro,1995-11-22,Casino,40.06688,116112375.0,7.8,1307.0,Drama,52.0
14,Robert De Niro,1996-08-15,The Fan,4.3664879999999995,18626419.0,5.7,194.0,Drama,53.0
15,Robert De Niro,1996-10-18,Sleepers,16.245068,165615285.0,7.3,715.0,Crime,53.0
16,Robert De Niro,1996-12-18,Marvin's Room,6.130231,0.0,6.6,124.0,Drama,53.0
17,Robert De Niro,1997-08-15,Cop Land,19.284129,44862187.0,6.6,382.0,Action,54.0
18,Robert De Niro,1997-12-24,Jackie Brown,40.631671000000004,39673162.0,7.3,1514.0,Comedy,54.0
19,Robert De Niro,1997-12-25,Wag the Dog,13.581966,64256513.0,6.7,270.0,Comedy,54.0
20,Robert De Niro,1998-09-25,Ronin,32.657488,41610884.0,6.7,658.0,Action,55.0
21,Robert De Niro,1999-03-05,Analyze This,29.415228999999997,176885658.0,6.4,503.0,Comedy,56.0
22,Robert De Niro,1999-11-26,Flawless,5.271559,4488529.0,5.9,56.0,Comedy,56.0
23,Robert De Niro,2000-06-30,The Adventures of Rocky & Bullwinkle,8.981427,35134820.0,3.9,87.0,Action,57.0
24,Robert De Niro,2000-09-13,Men of Honor,24.147269,48814909.0,7.0,544.0,Drama,57.0
25,Robert De Niro,2000-10-06,Meet the Parents,29.97224000000001,330444045.0,6.6,1698.0,Comedy,57.0
26,Robert De Niro,2001-03-01,15 Minutes,15.205371,56359980.0,5.7,191.0,Action,58.0
