,focus_actress,release_date,title,popularity,revenue,vote_average,vote_count,genre_name,age_at_release
0,Susan Sarandon,1974-12-01,The Front Page,4.117968,0.0,6.9,68.0,Romance,28.0
1,Susan Sarandon,1992-08-21,Light Sleeper,6.063868,0.0,5.7,15.0,Drama,46.0
2,Susan Sarandon,1994-07-20,The Client,17.746719,117615211.0,6.4,278.0,Drama,48.0
3,Susan Sarandon,1994-12-21,Little Women,16.418639000000002,0.0,7.0,215.0,Drama,48.0
4,Susan Sarandon,1995-12-29,Dead Man Walking,15.864927999999999,39363635.0,7.3,337.0,Drama,49.0
5,Susan Sarandon,1998-05-21,Illuminata,0.11131300000000001,0.0,6.3,7.0,Drama,52.0
6,Susan Sarandon,1998-12-25,Stepmom,16.368282999999998,0.0,6.9,277.0,Drama,52.0
7,Susan Sarandon,1999-11-12,Anywhere But Here,8.976738000000003,18653615.0,5.9,66.0,Drama,53.0
8,Susan Sarandon,2000-09-14,Rugrats in Paris: The Movie,4.5902769999999995,103.0,6.0,100.0,Adventure,54.0
9,Susan Sarandon,2001-07-04,Cats & Dogs,18.735024,93375151.0,5.0,352.0,Comedy,55.0
10,Susan Sarandon,2002-09-09,Moonlight Mile,8.982335,10011050.0,6.5,52.0,Romance,56.0
11,Susan Sarandon,2002-09-13,Igby Goes Down,2.062087,4777465.0,6.5,95.0,Comedy,56.0
12,Susan Sarandon,2002-09-20,The Banger Sisters,6.015354,0.0,5.5,62.0,Comedy,56.0
13,Susan Sarandon,2004-10-15,Shall We Dance?,14.231898999999999,170128460.0,5.9,297.0,Drama,58.0
14,Susan Sarandon,2004-10-22,Alfie,15.219263,13395939.0,5.6,248.0,Comedy,58.0
15,Susan Sarandon,2005-09-13,Romance & Cigarettes,4.056774,2945242.0,6.0,33.0,Comedy,59.0
16,Susan Sarandon,2005-10-06,Elizabethtown,22.894898,52034889.0,6.1,327.0,Comedy,59.0
17,Susan Sarandon,2007-08-31,In the Valley of Elah,15.676123,29541790.0,6.6,261.0,History,61.0
18,Susan Sarandon,2007-11-20,Enchanted,29.21998,340487652.0,6.6,1449.0,Comedy,61.0
19,Susan Sarandon,2008-05-09,Speed Racer,17.060695000000006,93945766.0,5.7,354.0,Action,62.0
20,Susan Sarandon,2009-01-17,The Greatest,6.903186,0.0,6.2,34.0,Drama,63.0
21,Susan Sarandon,2009-09-07,Solitary Man,7.497306,5024782.0,5.8,84.0,Comedy,63.0
22,Susan Sarandon,2009-12-26,The Lovely Bones,29.257137,93525586.0,6.6,1065.0,Fantasy,63.0
23,Susan Sarandon,2010-09-02,Wall Street: Money Never Sleeps,23.25645,134748021.0,5.8,493.0,Drama,64.0
24,Susan Sarandon,2011-09-13,"Jeff, Who Lives at Home",10.409155,4417580.0,6.1,217.0,Drama,65.0
25,Susan Sarandon,2012-06-14,That's My Boy,21.723897,58058367.0,5.5,453.0,Comedy,66.0
26,Susan Sarandon,2012-08-16,Robot & Frank,23.419061,3325038.0,6.8,450.0,Science Fiction,66.0
27,Susan Sarandon,2012-09-14,Arbitrage,16.40512,35485056.0,6.1,294.0,Drama,66.0
28,Susan Sarandon,2013-02-21,Snitch,30.556134999999998,42930462.0,5.8,1138.0,Thriller,67.0
29,Susan Sarandon,2013-04-25,The Big Wedding,18.843320000000002,21819348.0,5.7,414.0,Comedy,67.0
30,Susan Sarandon,2014-06-15,The Past Is a Grotesque Animal,0.394575,0.0,5.5,2.0,Documentary,68.0
31,Susan Sarandon,2014-07-02,Tammy,21.657563,100525432.0,5.0,500.0,Comedy,68.0
32,Susan Sarandon,2014-08-05,The Calling,5.759493,0.0,5.6,88.0,Thriller,68.0
0,Julia Roberts,1988-10-13,Mystic Pizza,6.379933,0.0,5.9,123.0,Comedy,21.0
1,Julia Roberts,1990-03-23,Pretty Woman,45.473484,463000000.0,7.0,1746.0,Romance,23.0
